 #
 # file for point set 1, from  Computational Geometry in C, pg 85
 #
 # this point set is for a 2D-point space columns are index, x-coordinate
 # and the ny-coordinate.  First line gives number of points and dimensions
header point 19  2
 0  3  3     # bearing angle =  39.83740 degrees, 0.69529 radians. distance: 7.7468  first point
 1  3  5     # bearing angle =  49.42155 degrees, 0.86256 radians. distance:  9.1706
 2  0  1     # bearing angle =  45.21703 degrees, 0.78918 radians. distance:  4.2107
 3  2  5     # bearing angle =  54.45358 degrees, 0.95039 radians. distance:  8.5747
 4 -2  2     # bearing angle =  76.03995 degrees, 1.32714 radians. distance:  4.1040
 5 -3  2     # bearing angle =  90.00000 degrees, 1.57079 radians. distance:  3.9887
 6  6  5     # bearing angle =  37.82512 degrees, 0.66017 radians. distance: 11.3296
 7 -3  4     # bearing angle =  90.00000 degrees, 1.57079 radians. distance:  5.9661
 8 -5  2     # bearing angle = 116.56505 degrees, 2.03444 radians. distance:  4.4519
 9 -5 -1     # bearing angle = 153.26456 degrees, 2.67497 radians. distance:  2.2159
10  1 -2     # bearing angle =    0.0000 degrees, 0                distance:  3.9774
11 -3 -2     # bearing angle =    0.0000 degrees, 0                distance:    0.00   bottom, left most point
12  4  2     # bearing angle =  29.62512 degrees, 0.51705 radians. distance:  8.0216
13  5  1     # bearing angle =  20.44955 degrees, 0.35691 radians. distance:  8.5071
14 -5  1     # bearing angle = 123.98952 degrees, 2.16402 radians. distance:  3.5868
15  3 -2     # bearing angle =    0.0000 degrees, 0                distance:  5.9661
16  0  5     # bearing angle =   66.7011 degrees, 1.16415 radians. distance:  7.5802
17  0  0     # bearing angle =  33.49078 degrees, 0.58452 radians. distance:  3.5992
18  7  4     # bearing angle =  30.88762 degrees, 0.53909 radians. distance: 11.6000 last point










 


